,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
841,The Sum of All Fears,193921372,118907036,61.3%,75014336,38.7%,2002,tt0164184,No Collection,68000000,'Thriller',en,13.174000000000001,2002-05-31,124.0,Miramax
842,Gangs of New York,193772504,77812000,40.2%,115960504,59.8%,2002,tt0217505,No Collection,100000000,'Drama',en,16.669,2002-12-14,167.0,Filmko Pictures
843,The Monkey King 2,193678298,709982,0.4%,192968316,99.6%,2016,tt4591310,392206,68490000,'Action',zh,7.524,2016-01-22,120.0,Blumhouse Productions
844,Paranormal Activity,193355800,107918810,55.8%,85436990,44.2%,2009,tt1179904,41437,15000,'Horror',en,12.645999999999999,2009-09-25,86.0,Lonetree Entertainment
845,The Equalizer,192330738,101530738,52.8%,90800000,47.2%,2014,tt0455944,523855,55000000,'Thriller',en,39.412,2014-09-24,132.0,Vertigo Entertainment
846,The Lego Movie 2: The Second Part,192306508,105806508,55%,86500000,45%,2019,tt3513498,325470,100000000,'Action',en,19.969,2019-01-26,106.0,Scott Rudin
847,Downton Abbey,192094429,96854135,50.4%,95240294,49.6%,2019,tt6398184,No Collection,20000000,'Drama',en,11.389000000000001,2019-09-12,122.0,Callahan Filmworks
848,The Addams Family,191502426,113502426,59.3%,78000000,40.7%,1991,tt0101272,11716,30000000,'Comedy',en,13.112,1991-11-22,99.0,Robert Simonds
849,The Longest Yard,191466556,158119460,82.6%,33347096,17.4%,2005,tt0398165,No Collection,82000000,'Comedy',en,14.36,2005-05-27,113.0,Mace Neufeld
850,Cheaper by the Dozen,190538630,138614544,72.8%,51924086,27.2%,2003,tt0349205,114783,40000000,'Comedy',en,14.977,2003-12-24,98.0,Columbia Pictures
851,The Equalizer 2,190400157,102084362,53.6%,88315795,46.4%,2018,tt3766354,523855,62000000,'Thriller',en,19.862000000000002,2018-07-19,122.0,Kopelson Entertainment
852,Hollow Man,190213455,73209340,38.5%,117004115,61.5%,2000,tt0164052,166376,95000000,'Action',en,17.803,2000-08-04,112.0,Walt Disney
