,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
0,Avengers: Endgame,2797800564,858373000,30.7%,1939427564,69.3%,2019,tt4154796,86311,356000000,'Adventure',en,41.244,2019-04-24,181.0,Marvel Studios
1,Avatar,2790439000,760507625,27.2%,2029931375,72.8%,2009,tt0499549,87096,237000000,'Action',en,40.099000000000004,2009-12-10,162.0,Dune Entertainment
2,Titanic,2194439542,659363944,30%,1535075598,70%,1997,tt0120338,No Collection,200000000,'Drama',en,33.658,1997-11-18,194.0,Paramount
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,45.3%,1131561399,54.7%,2015,tt2488496,10,245000000,'Action',en,40.452,2015-12-15,136.0,Truenorth Productions
4,Avengers: Infinity War,2048359754,678815482,33.1%,1369544272,66.9%,2018,tt4154756,86311,300000000,'Adventure',en,66.376,2018-04-25,149.0,Marvel Studios
5,Jurassic World,1670400637,652270625,39%,1018130012,61%,2015,tt0369610,328,150000000,'Action',en,36.934,2015-06-06,124.0,Fuji Television
6,The Lion King,1656943394,543638043,32.8%,1113305351,67.2%,2019,tt6105098,94032,260000000,'Adventure',en,63.071999999999996,2019-07-12,118.0,Walt Disney
7,The Avengers,1518812988,623357910,41%,895455078,59%,2012,tt0848228,86311,220000000,'Science,en,57.159,2012-04-25,143.0,Marvel Studios
8,Furious 7,1515047671,353007020,23.3%,1162040651,76.7%,2015,tt2820852,9485,190000000,'Action',en,29.926,2015-04-01,137.0,Abu Dhabi
9,Frozen II,1450026933,477373578,32.9%,972653355,67.1%,2019,tt4520988,386382,150000000,'Animation',en,79.616,2019-11-20,104.0,Walt Disney
10,Avengers: Age of Ultron,1402805868,459005868,32.7%,943800000,67.3%,2015,tt2395427,86311,250000000,'Action',en,38.051,2015-04-22,141.0,Marvel Studios
11,Black Panther,1346913161,700059566,52%,646853595,48%,2018,tt1825683,No Collection,200000000,'Action',en,41.152,2018-02-13,134.0,Marvel Studios
12,Harry Potter and the Deathly Hallows: Part 2,1341932398,381409310,28.4%,960523088,71.6%,2011,tt1201607,1241,125000000,'Fantasy',en,48.52,2011-07-07,130.0,Warner Bros.
13,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,46.5%,712358507,53.5%,2017,tt2527336,10,200000000,'Science,en,49.011,2017-12-13,152.0,Lucasfilm
14,Jurassic World: Fallen Kingdom,1308467944,417719760,31.9%,890748184,68.1%,2018,tt4881806,328,170000000,'Action',en,35.12,2018-06-06,129.0,Amblin Entertainment
15,Frozen,1280802282,400738009,31.3%,880064273,68.7%,2013,tt2294629,386382,150000000,'Animation',en,42.536,2013-11-27,102.0,Walt Disney
16,Beauty and the Beast,1263521126,504014165,39.9%,759506961,60.1%,2017,tt2771200,No Collection,160000000,'Family',en,40.898,2017-03-16,129.0,Walt Disney
17,Incredibles 2,1242805359,608581744,49%,634223615,51%,2018,tt3606756,468222,200000000,'Action',en,29.088,2018-06-14,118.0,Walt Disney
18,The Fate of the Furious,1236005118,226008385,18.3%,1009996733,81.7%,2017,tt4630562,9485,250000000,'Action',en,26.279,2017-04-12,136.0,Universal Pictures
19,Iron Man 3,1214811252,409013994,33.7%,805797258,66.3%,2013,tt1300854,131292,200000000,'Action',en,29.895,2013-04-18,130.0,Marvel Studios
20,Minions,1159398397,336045770,29%,823352627,71%,2015,tt2293640,544669,74000000,'Family',en,14.44,2015-06-17,91.0,Illumination Entertainment
21,Captain America: Civil War,1153296293,408084349,35.4%,745211944,64.6%,2016,tt3498820,131295,250000000,'Adventure',en,41.143,2016-04-27,147.0,Marvel Studios
22,Aquaman,1148461807,335061807,29.2%,813400000,70.8%,2018,tt1477834,573693,160000000,'Action',en,26.788,2018-12-07,144.0,DC Comics
23,The Lord of the Rings: The Return of the King,1142219401,377845905,33.1%,764373496,66.9%,2003,tt0167260,119,94000000,'Adventure',en,44.378,2003-12-01,201.0,New Line
24,Spider-Man: Far from Home,1131927996,390532085,34.5%,741395911,65.5%,2019,tt6320628,531241,160000000,'Action',en,71.598,2019-06-28,129.0,Marvel Studios
25,Captain Marvel,1128274794,426829839,37.8%,701444955,62.2%,2019,tt4154664,623911,152000000,'Action',en,46.428999999999995,2019-03-06,124.0,Marvel Studios
26,Transformers: Dark of the Moon,1123794079,352390543,31.4%,771403536,68.6%,2011,tt1399103,8650,195000000,'Action',en,5.332999999999999,2011-06-28,154.0,Hasbro Studios
27,Skyfall,1108561013,304360277,27.5%,804200736,72.5%,2012,tt1074638,645,200000000,'Action',en,36.227,2012-10-25,143.0,Danjaq
28,Transformers: Age of Extinction,1104054072,245439076,22.2%,858614996,77.8%,2014,tt2109248,8650,210000000,'Science,en,24.208000000000002,2014-06-25,165.0,Hasbro Studios
29,The Dark Knight Rises,1081041287,448139099,41.4%,632902188,58.6%,2012,tt1345836,263,250000000,'Action',en,37.445,2012-07-16,165.0,Syncopy
30,Joker,1074251311,335451311,31.2%,738800000,68.8%,2019,tt7286456,No Collection,55000000,'Crime',en,93.56299999999999,2019-10-02,122.0,DC Entertainment
31,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,48%,558941706,52%,2019,tt2527338,10,250000000,'Action',en,90.64,2019-12-18,142.0,Walt Disney
32,Toy Story 4,1073394593,434038008,40.4%,639356585,59.6%,2019,tt1979376,10194,175000000,'Adventure',en,34.489000000000004,2019-06-19,100.0,Lucasfilm
33,Toy Story 3,1066969703,415004880,38.9%,651964823,61.1%,2010,tt0435761,10194,200000000,'Animation',en,27.214000000000002,2010-06-16,103.0,Pixar
34,Pirates of the Caribbean: Dead Man's Chest,1066179725,423315812,39.7%,642863913,60.3%,2006,tt0383574,295,200000000,'Adventure',en,32.4,2006-06-20,151.0,Walt Disney
35,Rogue One: A Star Wars Story,1056057273,532177324,50.4%,523879949,49.6%,2016,tt3748528,693529,200000000,'Action',en,29.315,2016-12-14,133.0,Lucasfilm
36,Aladdin,1050693953,355559216,33.8%,695134737,66.2%,2019,tt6139732,No Collection,183000000,'Adventure',en,72.428,2019-05-22,128.0,Walt Disney
37,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,23%,804642000,77%,2011,tt1298650,295,380000000,'Adventure',en,30.046999999999997,2011-05-14,136.0,Walt Disney
38,Despicable Me 3,1034799409,264624300,25.6%,770175109,74.4%,2017,tt3469046,86066,80000000,'Action',en,16.69,2017-06-15,96.0,Universal Pictures
39,Jurassic Park,1032020521,402828120,39%,629192401,61%,1993,tt0107290,328,63000000,'Adventure',en,19.032,1993-06-11,127.0,Universal Pictures
40,Finding Dory,1028570889,486295561,47.3%,542275328,52.7%,2016,tt2277860,137697,200000000,'Adventure',en,22.824,2016-06-16,97.0,Pixar
41,Star Wars: Episode I - The Phantom Menace,1027082707,474544677,46.2%,552538030,53.8%,1999,tt0120915,10,115000000,'Adventure',en,24.8,1999-05-19,136.0,Lucasfilm
42,Alice in Wonderland,1025467110,334191110,32.6%,691276000,67.4%,2010,tt1014759,261307,200000000,'Family',en,18.973,2010-03-03,108.0,Walt Disney
43,Zootopia,1023784195,341268248,33.3%,682515947,66.7%,2016,tt2948356,No Collection,150000000,'Animation',en,38.436,2016-02-11,109.0,Walt Disney
44,The Hobbit: An Unexpected Journey,1017003568,303003568,29.8%,714000000,70.2%,2012,tt0903624,121938,250000000,'Adventure',en,32.391,2012-11-26,169.0,Warner Bros.
45,The Dark Knight,1004934033,535234033,53.3%,469700000,46.7%,2008,tt0468569,263,185000000,'Drama',en,61.042,2008-07-16,152.0,DC Comics
46,Harry Potter and the Sorcerer's Stone,978087613,318087620,32.5%,659999993,67.5%,2001,tt0241527,1241,125000000,'Adventure',en,75.735,2001-11-16,152.0,Warner Bros.
47,Harry Potter and the Deathly Hallows: Part 1,976920103,296347721,30.3%,680572382,69.7%,2010,tt0926084,1241,250000000,'Adventure',en,42.806999999999995,2010-10-17,146.0,Warner Bros.
48,Despicable Me 2,970766005,368065385,37.9%,602700620,62.1%,2013,tt1690953,86066,76000000,'Animation',en,30.685,2013-06-25,98.0,Illumination Entertainment
49,The Lion King,968511805,422783777,43.6%,545728028,56.4%,1994,tt0110357,94032,45000000,'Family',en,32.284,1994-05-07,89.0,Walt Disney
50,The Jungle Book,966550600,364001123,37.7%,602549477,62.3%,2016,tt3040964,No Collection,175000000,'Adventure',en,29.631999999999998,2016-04-07,106.0,Walt Disney
51,Jumanji: Welcome to the Jungle,962102237,404540171,42%,557562066,58%,2017,tt2283362,495527,90000000,'Action',en,27.230999999999998,2017-12-09,119.0,Radar Pictures
52,Pirates of the Caribbean: At World's End,960996492,309420425,32.2%,651576067,67.8%,2007,tt0449088,295,300000000,'Adventure',en,28.159000000000002,2007-05-19,169.0,Jerry Bruckheimer
53,The Hobbit: The Desolation of Smaug,958366855,258366855,27%,700000000,73%,2013,tt1170358,121938,250000000,'Adventure',en,27.04,2013-12-11,161.0,Warner Bros.
54,The Hobbit: The Battle of the Five Armies,956019788,255119788,26.7%,700900000,73.3%,2014,tt2310332,121938,250000000,'Action',en,61.685,2014-12-10,144.0,Warner Bros.
55,The Lord of the Rings: The Two Towers,951208089,342551365,36%,608656724,64%,2002,tt0167261,119,79000000,'Adventure',en,35.388000000000005,2002-12-18,179.0,New Line
56,Harry Potter and the Order of the Phoenix,942044510,292353413,31%,649691097,69%,2007,tt0373889,1241,150000000,'Adventure',en,42.162,2007-06-28,138.0,Warner Bros.
57,Finding Nemo,940343261,380843261,40.5%,559500000,59.5%,2003,tt0266543,137697,94000000,'Animation',en,34.417,2003-05-30,100.0,Pixar
58,Harry Potter and the Half-Blood Prince,934326396,302305431,32.4%,632020965,67.6%,2009,tt0417741,1241,250000000,'Adventure',en,39.435,2009-07-07,153.0,Warner Bros.
59,Shrek 2,928760770,441226247,47.5%,487534523,52.5%,2004,tt0298148,2150,150000000,'Adventure',en,28.125999999999998,2004-05-19,93.0,DreamWorks Animation
60,Bohemian Rhapsody,903655259,216428042,24%,687227217,76%,2018,tt1727824,No Collection,52000000,'Drama',en,31.363000000000003,2018-10-24,135.0,GK Films
61,Harry Potter and the Goblet of Fire,896346229,290417905,32.4%,605928324,67.6%,2005,tt0330373,1241,150000000,'Adventure',en,36.544000000000004,2005-11-16,157.0,Patalex IV
62,Spider-Man 3,894983373,336530303,37.6%,558453070,62.4%,2007,tt0413300,556,258000000,'Fantasy',en,24.476999999999997,2007-05-01,139.0,Marvel Enterprises
63,The Lord of the Rings: The Fellowship of the Ring,887832826,315544750,35.5%,572288076,64.5%,2001,tt0120737,119,93000000,'Adventure',en,44.907,2001-12-18,178.0,New Line
64,Ice Age: Dawn of the Dinosaurs,886686817,196573705,22.2%,690113112,77.8%,2009,tt1080016,8354,90000000,'Animation',en,19.373,2009-06-29,94.0,Blue Sky
65,Spectre,880674609,200074609,22.7%,680600000,77.3%,2015,tt2379713,645,245000000,'Action',en,33.741,2015-10-26,148.0,Danjaq
66,Spider-Man: Homecoming,880166924,334201140,38%,545965784,62%,2017,tt2250912,531241,175000000,'Action',en,58.108999999999995,2017-07-05,133.0,Marvel Studios
67,Harry Potter and the Chamber of Secrets,879465594,262450136,29.8%,617015458,70.2%,2002,tt0295297,1241,100000000,'Adventure',en,47.678000000000004,2002-11-13,161.0,1492 Pictures
68,Ice Age: Continental Drift,877244782,161321843,18.4%,715922939,81.6%,2012,tt1667889,8354,95000000,'Animation',en,24.736,2012-06-26,88.0,Blue Sky
69,The Secret Life of Pets,875457937,368384330,42.1%,507073607,57.9%,2016,tt2709768,427084,75000000,'Adventure',en,6.627000000000001,2016-06-18,87.0,Universal Pictures
70,Batman v Superman: Dawn of Justice,873634919,330360194,37.8%,543274725,62.2%,2016,tt2975590,209131,250000000,'Action',en,37.416,2016-03-23,151.0,RatPac-Dune Entertainment
71,Wolf Warrior 2,870325439,2721100,0.3%,867604339,99.7%,2017,tt7131870,471435,29700000,'War',zh,12.142000000000001,2017-07-27,126.0,Spring Era
72,Star Wars: Episode III - Revenge of the Sith,868390560,380270577,43.8%,488119983,56.2%,2005,tt0121766,10,113000000,'Science,en,20.498,2005-05-17,140.0,Lucasfilm
73,The Hunger Games: Catching Fire,865011746,424668047,49.1%,440343699,50.9%,2013,tt1951264,131635,130000000,'Adventure',en,21.119,2013-11-15,146.0,Lionsgate
74,Guardians of the Galaxy Vol. 2,863756051,389813101,45.1%,473942950,54.9%,2017,tt3896198,284433,200000000,'Action',en,39.766,2017-04-19,137.0,Marvel Studios
75,Inside Out,857611174,356461711,41.6%,501149463,58.4%,2015,tt2096673,No Collection,175000000,'Drama',en,44.715,2015-06-09,95.0,Pixar
76,Venom,856085151,213515506,24.9%,642569645,75.1%,2018,tt1270797,558216,116000000,'Science,en,34.117,2018-09-28,112.0,Avi Arad
77,Thor: Ragnarok,853977126,315058289,36.9%,538918837,63.1%,2017,tt3501632,131296,180000000,'Action',en,44.843,2017-10-25,131.0,Marvel Studios
78,Transformers: Revenge of the Fallen,836303693,402111870,48.1%,434191823,51.9%,2009,tt1055369,8650,200000000,'Science,en,6.396,2009-06-19,149.0,Hasbro Studios
79,Inception,829895144,292576195,35.2%,537318949,64.8%,2010,tt1375666,No Collection,160000000,'Action',en,72.357,2010-07-15,148.0,Legendary Entertainment
80,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,35.2%,537422083,64.8%,2012,tt1673434,33514,120000000,'Adventure',en,24.695,2012-11-13,115.0,Sunswept Entertainment
81,Spider-Man,825025036,407022860,49.3%,418002176,50.7%,2002,tt0145487,556,139000000,'Fantasy',en,29.798000000000002,2002-05-01,121.0,Marvel Enterprises
82,Wonder Woman,821847012,412563408,50.2%,409283604,49.8%,2017,tt0451279,468552,149000000,'Action',en,37.257,2017-05-30,141.0,Dune Entertainment
83,Independence Day,817400891,306169268,37.5%,511231623,62.5%,1996,tt0116629,304378,75000000,'Action',en,22.357,1996-06-25,145.0,Centropolis Entertainment
84,Fantastic Beasts and Where to Find Them,814037575,234037575,28.8%,580000000,71.2%,2016,tt3183660,435259,180000000,'Adventure',en,43.308,2016-11-16,133.0,Heyday Films
85,Shrek the Third,813367380,322719944,39.7%,490647436,60.3%,2007,tt0413267,2150,160000000,'Fantasy',en,25.021,2007-05-17,93.0,DreamWorks Animation
86,Coco,807082196,209726015,26%,597356181,74%,2017,tt2380307,No Collection,175000000,'Animation',en,38.033,2017-10-27,105.0,Pixar
87,Jumanji: The Next Level,796575993,316831246,39.8%,479744747,60.2%,2019,tt7975244,495527,125000000,'Adventure',en,51.931000000000004,2019-12-04,123.0,1492 Pictures
88,Harry Potter and the Prisoner of Azkaban,796093802,249975996,31.4%,546117806,68.6%,2004,tt0304141,1241,130000000,'Adventure',en,38.726,2004-05-31,141.0,Walt Disney
89,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,21.7%,622302918,78.3%,2017,tt1790809,295,230000000,'Adventure',en,26.761999999999997,2017-05-23,129.0,Universal Pictures
90,E.T. the Extra-Terrestrial,793482178,435110554,54.8%,358371624,45.2%,1982,tt0083866,No Collection,10500000,'Science,en,34.201,1982-06-11,115.0,Columbia Pictures
91,2012,791217826,166112167,21%,625105659,79%,2009,tt1190080,No Collection,200000000,'Action',en,28.715999999999998,2009-10-10,158.0,Paramount
92,Mission: Impossible - Fallout,791115104,220159104,27.8%,570956000,72.2%,2018,tt4912910,87359,178000000,'Action',en,31.265,2018-07-13,148.0,Columbia Pictures
93,Indiana Jones and the Kingdom of the Crystal Skull,790653942,317101119,40.1%,473552823,59.9%,2008,tt0367882,84,185000000,'Adventure',en,25.366999999999997,2008-05-21,122.0,Paramount
94,Spider-Man 2,788976453,373585825,47.4%,415390628,52.6%,2004,tt0316654,556,200000000,'Action',en,11.915,2004-06-25,127.0,Columbia Pictures
95,Fast & Furious 6,788679850,238679850,30.3%,550000000,69.7%,2013,tt1905041,9485,160000000,'Action',en,2.529,2013-05-21,131.0,Universal Pictures
96,Deadpool 2,785794179,324591735,41.3%,461202444,58.7%,2018,tt5463162,448150,110000000,'Action',en,43.643,2018-05-10,119.0,Marvel Entertainment
97,Deadpool,782612155,363070709,46.4%,419541446,53.6%,2016,tt1431045,448150,58000000,'Action',en,41.255,2016-02-09,108.0,Marvel Entertainment
98,Star Wars: Episode IV - A New Hope,775512064,460998507,59.4%,314513557,40.6%,1977,tt0076759,10,11000000,'Adventure',en,63.071000000000005,1977-05-25,121.0,Lucasfilm
99,Guardians of the Galaxy,772776600,333176600,43.1%,439600000,56.9%,2014,tt2015381,284433,170000000,'Action',en,23.748,2014-07-30,121.0,Marvel Studios
100,The Da Vinci Code,760006945,217536138,28.6%,542470807,71.4%,2006,tt0382625,115776,125000000,'Thriller',en,20.11,2006-05-17,149.0,Imagine Entertainment
101,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,22.9%,585100000,77.1%,2019,tt6806448,9485,200000000,'Action',en,48.368,2019-08-01,137.0,Chris Morgan
102,Maleficent,758410378,241410378,31.8%,517000000,68.2%,2014,tt1587310,531331,180000000,'Fantasy',en,33.512,2014-05-28,97.0,Walt Disney
103,The Amazing Spider-Man,757930663,262030663,34.6%,495900000,65.4%,2012,tt0948470,125574,215000000,'Action',en,30.726,2012-06-23,136.0,Columbia Pictures
104,The Hunger Games: Mockingjay - Part 1,755356711,337135885,44.6%,418220826,55.4%,2014,tt1951265,131635,125000000,'Science,en,60.891999999999996,2014-11-19,123.0,Lionsgate
105,Shrek Forever After,752600867,238736787,31.7%,513864080,68.3%,2010,tt0892791,2150,165000000,'Comedy',en,22.798000000000002,2010-05-16,93.0,DreamWorks Animation
106,Madagascar 3: Europe's Most Wanted,746921274,216391482,29%,530529792,71%,2012,tt1277953,14740,145000000,'Animation',en,19.055999999999997,2012-06-06,93.0,DreamWorks Animation
107,Suicide Squad,746846894,325100054,43.5%,421746840,56.5%,2016,tt1386697,531242,175000000,'Action',en,23.386,2016-08-03,123.0,DC Entertainment
108,X-Men: Days of Future Past,746045700,233921534,31.4%,512124166,68.6%,2014,tt1877832,748,250000000,'Action',en,23.99,2014-05-15,131.0,Revolution Sun
109,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,39.2%,453302158,60.8%,2005,tt0363771,420,180000000,'Adventure',en,27.517,2005-12-07,143.0,Walt Disney
110,Monsters University,743559607,268492764,36.1%,475066843,63.9%,2013,tt1453405,137696,200000000,'Animation',en,21.336,2013-06-20,104.0,Pixar
111,The Matrix Reloaded,741846459,281576461,38%,460269998,62%,2003,tt0234215,2344,150000000,'Adventure',en,24.93,2003-05-15,138.0,Heineken Branded
112,Up,735099082,293004164,39.9%,442094918,60.1%,2009,tt1049413,No Collection,175000000,'Animation',en,28.881999999999998,2009-05-28,96.0,Pixar
114,Gravity,723192705,274092705,37.9%,449100000,62.1%,2013,tt1454468,No Collection,105000000,'Science,en,21.305999999999997,2013-10-03,91.0,Esperanto Filmoj
115,Captain America: The Winter Soldier,714421503,259766572,36.4%,454654931,63.6%,2014,tt1843866,131295,170000000,'Action',en,18.269000000000002,2014-03-20,136.0,Marvel Studios
116,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,39.5%,430918723,60.5%,2011,tt1324999,33514,110000000,'Adventure',en,23.086,2011-11-16,117.0,Zohar International
117,The Twilight Saga: New Moon,711020081,297816253,41.9%,413203828,58.1%,2009,tt1259571,33514,50000000,'Adventure',en,23.283,2009-11-18,131.0,Summit Entertainment
118,Dawn of the Planet of the Apes,710644566,208545589,29.4%,502098977,70.6%,2014,tt2103281,173710,170000000,'Science,en,29.991,2014-06-26,130.0,TSG Entertainment
119,Transformers,709709780,319246193,45%,390463587,55%,2007,tt0418279,8650,150000000,'Adventure',en,5.6979999999999995,2007-06-27,144.0,Hasbro Studios
120,The Amazing Spider-Man 2,708982323,202853933,28.6%,506128390,71.4%,2014,tt1872181,125574,200000000,'Action',en,20.243,2014-04-16,142.0,Marvel Entertainment
121,It,701796444,328828874,46.9%,372967570,53.1%,2017,tt1396484,477962,35000000,'Horror',en,19.094,2017-09-06,135.0,RatPac-Dune Entertainment
122,The Wandering Earth,699760773,5875487,0.8%,693885286,99.2%,2019,tt7605074,No Collection,48000000,'Science,zh,11.095,2019-02-05,126.0,China Film
123,The Twilight Saga: Eclipse,698491347,300531751,43%,397959596,57%,2010,tt1325004,33514,68000000,'Adventure',en,20.09,2010-06-23,124.0,Sunswept Entertainment
124,Mission: Impossible - Ghost Protocol,694713380,209397903,30.1%,485315477,69.9%,2011,tt1229238,87359,145000000,'Action',en,28.239,2011-12-07,133.0,Paramount
125,The Hunger Games,694394724,408010692,58.8%,286384032,41.2%,2012,tt1392170,131635,75000000,'Science,en,15.584000000000001,2012-03-12,142.0,Lionsgate
126,Moana,690845539,248757044,36%,442088495,64%,2016,tt3521164,No Collection,150000000,'Adventure',en,7.042000000000001,2016-11-23,107.0,Walt Disney
127,Mission: Impossible - Rogue Nation,682714267,195042377,28.6%,487671890,71.4%,2015,tt2381249,87359,150000000,'Action',en,28.999000000000002,2015-07-23,131.0,Paramount
128,Forrest Gump,678222284,330455270,48.7%,347767014,51.3%,1994,tt0109830,No Collection,55000000,'Comedy',en,35.075,1994-07-06,142.0,Paramount
129,Doctor Strange,677718395,232641920,34.3%,445076475,65.7%,2016,tt1211837,618529,165000000,'Action',en,40.295,2016-10-25,115.0,Marvel Studios
130,Interstellar,677471339,188020017,27.8%,489451322,72.2%,2014,tt0816692,No Collection,165000000,'Adventure',en,64.442,2014-11-05,169.0,Legendary Entertainment
131,The Sixth Sense,672806292,293506292,43.6%,379300000,56.4%,1999,tt0167404,No Collection,40000000,'Mystery',en,32.426,1999-08-06,107.0,Spyglass Entertainment
132,Man of Steel,668045518,291045518,43.6%,377000000,56.4%,2013,tt0770828,209131,225000000,'Action',en,31.109,2013-06-12,143.0,Legendary Entertainment
133,Ice Age: The Meltdown,667094506,195330621,29.3%,471763885,70.7%,2006,tt0438097,8354,80000000,'Animation',en,27.793000000000003,2006-03-29,91.0,20th Century
134,Kung Fu Panda 2,665692281,165249063,24.8%,500443218,75.2%,2011,tt1302011,77816,150000000,'Animation',en,22.464000000000002,2011-05-25,91.0,DreamWorks Animation
135,The Hunger Games: Mockingjay - Part 2,658344137,281723902,42.8%,376620235,57.2%,2015,tt1951266,131635,160000000,'Action',en,22.4,2015-11-18,137.0,Studio Babelsberg
136,Justice League,657924295,229024295,34.8%,428900000,65.2%,2017,tt0974015,468551,300000000,'Action',en,64.39699999999999,2017-11-15,120.0,"DC"" Comics"
137,Big Hero 6,657827828,222527828,33.8%,435300000,66.2%,2014,tt2245084,No Collection,165000000,'Adventure',en,47.452,2014-10-24,102.0,Walt Disney
138,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,24.4%,495300000,75.6%,2018,tt4123430,435259,200000000,'Adventure',en,31.268,2018-11-14,134.0,Warner Bros.
139,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,46.7%,348850097,53.3%,2003,tt0325980,295,140000000,'Adventure',en,40.955,2003-07-09,143.0,Jerry Bruckheimer
140,Star Wars: Episode II - Attack of the Clones,653779970,310676740,47.5%,343103230,52.5%,2002,tt0121765,10,120000000,'Adventure',en,19.45,2002-05-15,142.0,Lucasfilm
141,Thor: The Dark World,644783140,206362140,32%,438421000,68%,2013,tt1981115,131296,170000000,'Action',en,30.199,2013-10-29,112.0,Marvel Studios
142,Sing,634151679,270395425,42.6%,363756254,57.4%,2016,tt3470600,544670,75000000,'Animation',en,27.395,2016-11-23,108.0,Illumination Entertainment
143,"Monsters, Inc.",632316649,289916256,45.8%,342400393,54.2%,2001,tt0198781,137696,115000000,'Animation',en,41.313,2001-11-01,92.0,Pixar
144,Kung Fu Panda,631746197,215434591,34.1%,416311606,65.9%,2008,tt0441773,77816,130000000,'Adventure',en,23.506,2008-06-04,90.0,DreamWorks Animation
145,The Incredibles,631606713,261441092,41.4%,370165621,58.6%,2004,tt0317705,468222,92000000,'Action',en,35.888000000000005,2004-11-05,115.0,Pixar
146,The Martian,630161890,228433663,36.2%,401728227,63.8%,2015,tt3659388,No Collection,108000000,'Drama',en,32.521,2015-09-30,141.0,Scott Free
147,Hancock,629443428,227946274,36.2%,401497154,63.8%,2008,tt0448157,No Collection,150000000,'Fantasy',en,21.033,2008-07-01,92.0,GH Three
148,Fast Five,626137675,209837675,33.5%,416300000,66.5%,2011,tt1596343,9485,125000000,'Action',en,2.465,2011-04-20,130.0,Original Film
149,Men in Black 3,624026776,179020854,28.7%,445005922,71.3%,2012,tt1409024,86055,225000000,'Action',en,22.926,2012-05-23,106.0,Amblin Entertainment
150,Iron Man 2,623933331,312433331,50.1%,311500000,49.9%,2010,tt1228705,131292,200000000,'Adventure',en,29.151,2010-04-28,124.0,Marvel Studios
151,Ratatouille,623726085,206445654,33.1%,417280431,66.9%,2007,tt0382932,No Collection,150000000,'Animation',en,25.226,2007-06-22,111.0,Pixar
152,Ant-Man and the Wasp,622674139,216648740,34.8%,406025399,65.2%,2018,tt5095030,422834,140000000,'Action',en,38.009,2018-07-04,119.0,Marvel Studios
153,How to Train Your Dragon 2,621537519,177002924,28.5%,444534595,71.5%,2014,tt1646971,89137,145000000,'Fantasy',en,25.635,2014-06-09,102.0,DreamWorks Animation
154,Logan,619021436,226277068,36.6%,392744368,63.4%,2017,tt3315342,453993,97000000,'Action',en,44.321999999999996,2017-02-28,137.0,The Donners
155,The Lost World: Jurassic Park,618638999,229086679,37%,389552320,63%,1997,tt0119567,328,73000000,'Adventure',en,1.28,1997-05-23,129.0,Universal Pictures
156,Casino Royale,616501619,167445960,27.2%,449055659,72.8%,2006,tt0381061,645,150000000,'Adventure',en,31.951999999999998,2006-11-14,144.0,Babelsberg Film
157,The Passion of the Christ,612054428,370782930,60.6%,241271498,39.4%,2004,tt0335345,No Collection,30000000,'Drama',en,19.668,2004-02-25,127.0,Icon Productions
158,Mamma Mia!,609896805,144169664,23.6%,465727141,76.4%,2008,tt0795421,458558,52000000,'Comedy',en,18.914,2008-07-02,108.0,Littlestar
159,Life of Pi,609016565,124987023,20.5%,484029542,79.5%,2012,tt0454876,No Collection,120000000,'Adventure',en,29.531999999999996,2012-11-20,127.0,Fox 2000
160,Transformers: The Last Knight,605425157,130168683,21.5%,475256474,78.5%,2017,tt3371366,8650,217000000,'Action',en,19.102,2017-06-16,154.0,Tom DeSanto/Don
161,Madagascar: Escape 2 Africa,603900354,180010950,29.8%,423889404,70.2%,2008,tt0479952,14740,150000000,'Family',en,22.096,2008-10-30,89.0,DreamWorks Animation
162,War of the Worlds,603873119,234280354,38.8%,369592765,61.2%,2005,tt0407304,No Collection,132000000,'Adventure',en,34.97,2005-06-28,116.0,Paramount
163,Tangled,592461732,200821936,33.9%,391639796,66.1%,2010,tt0398286,698192,260000000,'Animation',en,21.4,2010-11-24,100.0,Walt Disney
164,Quantum of Solace,589580482,168368427,28.6%,421212055,71.4%,2008,tt0830515,645,200000000,'Adventure',en,26.243000000000002,2008-10-30,106.0,Eon Productions
165,Men in Black,589390539,250690539,42.5%,338700000,57.5%,1997,tt0119654,86055,90000000,'Action',en,36.192,1997-07-02,98.0,Parkes+MacDonald Image
166,The Croods,587204668,187168425,31.9%,400036243,68.1%,2013,tt0481499,464577,135000000,'Action',en,16.099,2013-03-20,98.0,DreamWorks Animation
167,The Hangover Part II,586764305,254464305,43.4%,332300000,56.6%,2011,tt1411697,86119,80000000,'Comedy',en,18.685,2011-05-25,102.0,Legendary Entertainment
168,I Am Legend,585410052,256393010,43.8%,329017042,56.2%,2007,tt0480249,No Collection,150000000,'Drama',en,24.901,2007-12-14,101.0,Village Roadshow
